Country (Country),Species (ASFIS species),Fishing area (FAO major fishing area),Unit (Unit),2010,2011,2012,2013,2014,2015,2016,2017
Spain,"Gurnards, searobins nei",Mediterranean and Black Sea,Tonnes - live weight,451,447,128,72,92,205,181,192
Japan,Dotted gizzard shad,"Pacific, Northwest",Tonnes - live weight,6585,6888,6260,6548,5239,4047,4283,5600
Kenya,Upsidedown catfishes,Africa - Inland waters,Tonnes - live weight,136,872,773,141,136,1796,1200 F,749
Latvia,West African croakers nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
New Zealand,Blue mackerel,"Pacific, Southwest",Tonnes - live weight,8026,14073,10107,8731,6007,10519,9451,9733
Nigeria,Tuna-like fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,497,696,910,872,873,344,749,186.2
Rwanda,Freshwater fishes nei,Africa - Inland waters,Tonnes - live weight,-,-,-,-,-,-,-,-
Guinea-Bissau,Meagre,"Atlantic, Eastern Central",Tonnes - live weight,240 F,240 F,240 F,240 F,240 F,240 F,240 F,240 F
Un. Sov. Soc. Rep.,Lanternfishes nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
France,Palinurid spiny lobsters nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Germany,"Snake mackerels, escolars nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Taiwan Province of China,Natantian decapods nei,"Pacific, Northwest",Tonnes - live weight,7342,8854,15354,14756,17226,11459,8895,7983
Germany,Tench,Europe - Inland waters,Tonnes - live weight,41,60,52,53,50,56,53,49
Croatia,Annular seabream,Mediterranean and Black Sea,Tonnes - live weight,...,15,13,11,9,12,3,4
Iran (Islamic Rep. of),Hilsa shad,"Indian Ocean, Western",Tonnes - live weight,6431,5719,4406,3118,4148,2366,1878,1689
"Korea, Republic of","Porgies, seabreams nei","Atlantic, Eastern Central",Tonnes - live weight,1034,1087,1266,856,153,...,9,15
Portugal,Meagre,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
United Arab Emirates,King soldier bream,"Indian Ocean, Western",Tonnes - live weight,3121,2946,3005,2400 F,1800 F,1800 F,1800 F,1800 F
Zimbabwe,Freshwater fishes nei,Africa - Inland waters,Tonnes - live weight,1650 F,1700 F,1750 F,1800 F,1850 F,1900 F,2000 F,2100 F
Spain,"Gurnards, searobins nei","Atlantic, Eastern Central",Tonnes - live weight,2,1,23,0 0,10,1,0 0,0 0
Russian Federation,Freshwater fishes nei,Europe - Inland waters,Tonnes - live weight,5551,1117,7865,10676,11031,7675,7249,8001
France,Common spiny lobster,"Atlantic, Northeast",Tonnes - live weight,65,16,15,16,16,15,21,19
Germany,Freshwater bream,Europe - Inland waters,Tonnes - live weight,121,119,136,156,140,162,131,143
Croatia,Common two-banded seabream,Mediterranean and Black Sea,Tonnes - live weight,...,16,15,13,15,16,17,17
Indonesia,Toli shad,"Indian Ocean, Eastern",Tonnes - live weight,949,750,267,161,212,80,203,95
"Korea, Republic of","Porgies, seabreams nei","Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Qatar,Freshwater fishes nei,Asia - Inland waters,Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,0 0,-
Réunion,Freshwater fishes nei,Africa - Inland waters,Tonnes - live weight,...,...,...,...,...,...,...,...
Serbia and Montenegro,Freshwater fishes nei,Europe - Inland waters,Tonnes - live weight,-,-,-,-,-,-,-,-
Togo,Black seabream,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,24,...
France,Euro-American crayfishes nei,Europe - Inland waters,Tonnes - live weight,...,...,24,19,14,17,10,5
France,Palinurid spiny lobsters nei,"Atlantic, Northeast",Tonnes - live weight,-,18,6,4,-,-,-,-
Vanuatu,Tuna-like fishes nei,"Atlantic, Western Central",Tonnes - live weight,24,34,25,-,9,-,-,-
Croatia,Sharpsnout seabream,Mediterranean and Black Sea,Tonnes - live weight,...,5,7,6,5,5,5,5
India,Hilsa shad,"Indian Ocean, Western",Tonnes - live weight,12867,7357,3661,2987,1047 F,4359 F,19779 F,13394 F
Romania,Freshwater fishes nei,Europe - Inland waters,Tonnes - live weight,4,1,7 F,13 F,19 F,25,21,21
Indonesia,Nile tilapia,Asia - Inland waters,Tonnes - live weight,17345,22534,28484,27332,28637,30331,35551,69671
Latvia,Orfe(=Ide),Europe - Inland waters,Tonnes - live weight,0 0,0 0,-,0 0,-,-,-,-
Spain,"Gurnards, searobins nei","Atlantic, Northeast",Tonnes - live weight,925,1331,1892,1247,925,711,729,594
Latvia,West African croakers nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Lebanon,White seabream,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,153,257,239,175
Mexico,Eastern Pacific bonito,"Pacific, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Meagre,"Atlantic, Northeast",Tonnes - live weight,175,193,184,202,462,476,589,344
"Korea, Dem. People's Rep","Porgies, seabreams nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,...
Finland,Euro-American crayfishes nei,Europe - Inland waters,Tonnes - live weight,-,-,-,-,-,-,-,1
India,Hilsa shad,"Indian Ocean, Eastern",Tonnes - live weight,61988,22947,14179,11569,4200 F,16300 F,73900 F,50043 F
Latvia,"Porgies, seabreams nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Lebanon,"Porgies, seabreams nei",Mediterranean and Black Sea,Tonnes - live weight,740 F,830 F,915 F,1000 F,15,26,47,-
Morocco,Red seaweeds,"Atlantic, Eastern Central",Tonnes - live weight,7405,5797,5150,6138,2688,5284,7082,6908
New Caledonia,Tuna-like fishes nei,"Pacific, Western Central",Tonnes - live weight,236,260,228,246,308,199,202,178
Vanuatu,Tuna-like fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,96,0 0,-,-,-,-,-,-
Norway,European flat oyster,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,1,1,0 0
South Africa,Southern African anchovy,"Atlantic, Southeast",Tonnes - live weight,217042,119872,307272,78684,240338,237630,260205,216000
France,Spottail mantis squillid,Mediterranean and Black Sea,Tonnes - live weight,25,37,28,33,45,48,129,117
Georgia,Emperors(=Scavengers) nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Germany,"Porgies, seabreams nei","Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Ghana,"Porgies, seabreams nei","Atlantic, Eastern Central",Tonnes - live weight,3497,4034,3692,3395,3940,4019,3267,4054
"Korea, Republic of","Hairtails, scabbardfishes nei","Indian Ocean, Eastern",Tonnes - live weight,-,-,-,-,-,-,-,-
Latvia,Vendace,Europe - Inland waters,Tonnes - live weight,0 0,-,-,0 0,-,-,-,-
Malaysia,Chacunda gizzard shad,"Pacific, Western Central",Tonnes - live weight,1009,1456,1360,1897,2315,1868,1902,2364
Timor-Leste,Tuna-like fishes nei,"Indian Ocean, Eastern",Tonnes - live weight,3 F,3 F,3 F,3 F,3 F,3 F,3 F,3 F
Mexico,Red-eye round herring,"Pacific, Eastern Central",Tonnes - live weight,1024,1154,7933,31772,16382,48145,57210,53441
Ghana,West African croakers nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Indonesia,"Mackerel sharks,porbeagles nei","Indian Ocean, Eastern",Tonnes - live weight,883,897,1112,1044,955,974,974,131
"Korea, Republic of","Hairtails, scabbardfishes nei","Indian Ocean, Western",Tonnes - live weight,241,169,63,173,74,-,-,-
Viet Nam,Natantian decapods nei,"Pacific, Western Central",Tonnes - live weight,129000,137500,142922,149022,148100,183524,187853,194323
Panama,Tuna-like fishes nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Philippines,Tuna-like fishes nei,"Pacific, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Mackerels nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Senegal,Common pandora,"Atlantic, Eastern Central",Tonnes - live weight,...,...,...,1322,2237,1186,...,-
Palestine,Sargo breams nei,Mediterranean and Black Sea,Tonnes - live weight,13,7,5,7,5,7,6,7
Sierra Leone,Pargo breams nei,"Atlantic, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,...
Croatia,Pike-perch,Europe - Inland waters,Tonnes - live weight,20,19,17,20,21,26,25,24
Gambia,West African croakers nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Germany,"Porgies, seabreams nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,3
Japan,Antarctic krill,"Indian Ocean, Antarctic",Tonnes - live weight,-,-,-,-,-,-,-,-
Morocco,Freshwater fishes nei,Africa - Inland waters,Tonnes - live weight,1000,1200,1500,2000,2000,2000,2000 F,2000 F
Panama,Tuna-like fishes nei,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,Tuna-like fishes nei,"Pacific, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Senegal,Red pandora,"Atlantic, Eastern Central",Tonnes - live weight,3954,2649,2654,2518,2237,2721,4656,2935
"Venezuela, Boliv Rep of",Prochilods nei,"America, South - Inland waters",Tonnes - live weight,9500 F,11240,21261,18300 F,15350,5003,387,305 F
French Guiana,Penaeus shrimps nei,"Atlantic, Western Central",Tonnes - live weight,944,873,742,682,764,759,700 F,665 F
Djibouti,Emperors(=Scavengers) nei,"Indian Ocean, Western",Tonnes - live weight,289,199,281,223,292,267,210,211
Georgia,"Porgies, seabreams nei","Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Gambia,Cassava croaker,"Atlantic, Eastern Central",Tonnes - live weight,2357,1900 F,1420,2741,1047,953,991,1413
Germany,West African croakers nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Hungary,Pike-perch,Europe - Inland waters,Tonnes - live weight,149,222,208,188,151,261,208,211
Eritrea,Tuna-like fishes nei,"Indian Ocean, Western",Tonnes - live weight,423,301,123,123 F,123 F,123 F,123 F,123 F
Senegal,Pargo breams nei,"Atlantic, Eastern Central",Tonnes - live weight,3310,3268,173,1443,1467,1240,1622,-
Lithuania,"Hairtails, scabbardfishes nei","Atlantic, Eastern Central",Tonnes - live weight,149,1331,680,79,785,...,867,219
Mozambique,Freshwater fishes nei,Africa - Inland waters,Tonnes - live weight,33318,55094,53515,68215,70137,76405,84220,90052
Ukraine,Natantian decapods nei,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Mackerels nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Italy,Annular seabream,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,148,156,87
Greece,European pilchard(=Sardine),Mediterranean and Black Sea,Tonnes - live weight,6511,5809,5148,6865,8404,7953,10890,12674
Gambia,Bobo croaker,"Atlantic, Eastern Central",Tonnes - live weight,424,480 F,542,703,876,810,842,373
Ghana,West African croakers nei,"Atlantic, Eastern Central",Tonnes - live weight,1958,1470,1583,1697,1489,1350,1754,1775
Senegal,Red porgy,"Atlantic, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,2935
Iran (Islamic Rep. of),Donkey croaker,"Indian Ocean, Western",Tonnes - live weight,5186,4055,4466,4719,4770,6081,4829,5630
Israel,Common two-banded seabream,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,...,...,70,60 F
"Korea, Republic of","Hairtails, scabbardfishes nei","Pacific, Western Central",Tonnes - live weight,63,74,34,9,6,18,12,-
Latvia,Tench,Europe - Inland waters,Tonnes - live weight,47,41,30,36,37,34,28,30
Panama,Tuna-like fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Malaysia,Chacunda gizzard shad,"Indian Ocean, Eastern",Tonnes - live weight,3501,5193,4241,5093,8023,7971,9094,9278
United States of America,Natantian decapods nei,"Atlantic, Western Central",Tonnes - live weight,1406,1628,1590,1524,1667,1319,1071,973
Lithuania,Euro-American crayfishes nei,Europe - Inland waters,Tonnes - live weight,-,-,-,-,-,-,-,-
Montserrat,Freshwater fishes nei,"America, North - Inland waters",Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
United States of America,Horseshoe crab,"Atlantic, Northwest",Tonnes - live weight,553,695,933,1028,1075,879,888,940
Guinea-Bissau,Mackerels nei,"Atlantic, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,...
Guatemala,Yellowleg shrimp,"Pacific, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,...
Ghana,"Porgies, seabreams nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Grenada,Atlantic thread herring,"Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Mackerels nei,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Scomber mackerels nei,"Atlantic, Northeast",Tonnes - live weight,...,...,1518,795,293,...,17,-
Indonesia,"Mackerel sharks,porbeagles nei","Pacific, Western Central",Tonnes - live weight,196,222,128,239,452,219,187,22
Italy,Common two-banded seabream,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,209,182,112
Latvia,Freshwater bream,Europe - Inland waters,Tonnes - live weight,71,69,60,64,62,58,55,52
"Micronesia, Fed.States of",Freshwater fishes nei,Oceania - Inland waters,Tonnes - live weight,5 F,5 F,5 F,5 F,5 F,5 F,5 F,5 F
United Kingdom,Natantian decapods nei,"Atlantic, Northeast",Tonnes - live weight,1,0 0,0 0,0 0,0 0,-,-,-
"Moldova, Republic of",Freshwater fishes nei,Europe - Inland waters,Tonnes - live weight,8,13 F,13 F,13 F,13 F,13 F,13 F,13 F
Slovenia,Common pandora,Mediterranean and Black Sea,Tonnes - live weight,6,6,16,7,5,6,5,6
Panama,Tuna-like fishes nei,"Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Italy,Sharpsnout seabream,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,69,70,96
Gambia,"Porgies, seabreams nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Germany,West African croakers nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of","Hairtails, scabbardfishes nei","Pacific, Southwest",Tonnes - live weight,29,6,18,-,6,2,-,-
Norway,Great Atlantic scallop,"Atlantic, Northeast",Tonnes - live weight,748,739,676,678,748,556,546,488
Panama,Tuna-like fishes nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Horseshoe crab,"Atlantic, Western Central",Tonnes - live weight,-,-,-,8,11,0 0,-,137
Portugal,Tuna-like fishes nei,"Indian Ocean, Eastern",Tonnes - live weight,4,...,...,...,...,...,...,0 0
Spain,Common periwinkle,Mediterranean and Black Sea,Tonnes - live weight,10,11,16,9,10,5,0 0,2
United States of America,Freshwater mussel shells,"America, North - Inland waters",Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,Natantian decapods nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Gabon,Penaeus shrimps nei,"Atlantic, Eastern Central",Tonnes - live weight,150 F,170 F,190 F,210 F,237,190 F,175 F,160 F
Germany,Cassava croaker,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Germany,"Porgies, seabreams nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Ethiopia,Natantian decapods nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Germany,Penaeus shrimps nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of","Hairtails, scabbardfishes nei","Pacific, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
United Kingdom,Natantian decapods nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,0 0,6,-,-,-
Mongolia,Freshwater fishes nei,Asia - Inland waters,Tonnes - live weight,100,80,61,55 F,49,63,15,22
Panama,Striped bonito,"Pacific, Eastern Central",Tonnes - live weight,-,-,-,-,13,7,10 F,10 F
Portugal,Tuna-like fishes nei,"Indian Ocean, Western",Tonnes - live weight,23,...,...,...,...,...,...,-
Russian Federation,Red seaweeds,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,Natantian decapods nei,"Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
"Venezuela, Boliv Rep of",Cachama,"America, South - Inland waters",Tonnes - live weight,...,...,...,...,...,...,273,215 F
Russian Federation,Brine shrimp,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,331,480
Georgia,"Porgies, seabreams nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,93,-
France,"Porgies, seabreams nei",Mediterranean and Black Sea,Tonnes - live weight,-,4,1,1,2,0 0,0 0,0 0
India,Antarctic krill,"Indian Ocean, Antarctic",Tonnes - live weight,-,-,-,-,-,-,-,...
Ireland,Blackmouth catshark,"Atlantic, Northeast",Tonnes - live weight,3,1,-,-,-,-,-,-
Mexico,Freshwater fishes nei,"America, North - Inland waters",Tonnes - live weight,3534,10239,13785,1792,1358,8411,11309,9336
Poland,Tuna-like fishes nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,3,-,-,-
Un. Sov. Soc. Rep.,Natantian decapods nei,"Pacific, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Mackerels nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Natantian decapods nei,"Pacific, Eastern Central",Tonnes - live weight,0 0,1,1,5,7,3,2,1
Puerto Rico,Tuna-like fishes nei,"Atlantic, Western Central",Tonnes - live weight,2,1,1,-,1,3,1,1
Russian Federation,Pacific chub mackerel,"Pacific, Southeast",Tonnes - live weight,-,-,-,-,-,371,-,38
Germany,"Porgies, seabreams nei","Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
France,White seabream,Mediterranean and Black Sea,Tonnes - live weight,...,37,53,88,88,48,67,64
Spain,Common pandora,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,123,155,161,250,197
Gabon,"Porgies, seabreams nei","Atlantic, Eastern Central",Tonnes - live weight,...,...,...,...,493,390 F,350 F,315 F
Taiwan Province of China,Gracilaria seaweeds,"Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Iceland,Porbeagle,"Atlantic, Northeast",Tonnes - live weight,1,1,1,0 0,0 0,-,2,3
Latvia,Palinurid spiny lobsters nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Malta,Freshwater fishes nei,Europe - Inland waters,Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,0 0,-
Portugal,Tuna-like fishes nei,"Atlantic, Southeast",Tonnes - live weight,...,1,...,...,...,...,-,-
Northern Mariana Is.,Tuna-like fishes nei,"Pacific, Western Central",Tonnes - live weight,2,2,6,-,-,-,1,1
Panama,Tuna-like fishes nei,"Pacific, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,...
Thailand,Aquatic invertebrates nei,"Indian Ocean, Eastern",Tonnes - live weight,-,314,190,1136,287,298,1087,373
Portugal,Bigeye thresher,"Atlantic, Northeast",Tonnes - live weight,...,...,...,...,...,...,...,...
United Kingdom,Black seabream,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
France,"Porgies, seabreams nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Finland,Orfe(=Ide),Europe - Inland waters,Tonnes - live weight,210,210,191,191,288,288,274,274
Croatia,European pilchard(=Sardine),Mediterranean and Black Sea,Tonnes - live weight,29600,46051,43734,53085,61036,51777,54412,48420
Un. Sov. Soc. Rep.,Harp seal,"Atlantic, Northeast",Number,-,-,-,-,-,-,-,-
India,Antarctic krill,"Indian Ocean, Western",Tonnes - live weight,-,-,26523,22143,23800 F,25200 F,13600 F,14506 F
Portugal,Tuna-like fishes nei,"Atlantic, Southwest",Tonnes - live weight,1,3,...,...,...,...,...,...
Spain,Red pandora,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,394,598,299,223,161
"Korea, Republic of","Hairtails, scabbardfishes nei","Atlantic, Eastern Central",Tonnes - live weight,247,167,1683,376,100,16,16,40
Poland,Pacific chub mackerel,"Pacific, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Natantian decapods nei,"Pacific, Northeast",Tonnes - live weight,407,573,502,434,469,707,790,851
Lithuania,Freshwater bream,Europe - Inland waters,Tonnes - live weight,400,480,429,512,482,494,543,548
Mexico,Scaled sardines,"Atlantic, Western Central",Tonnes - live weight,140,236,...,...,4,7,-,8
Netherlands,Great Atlantic scallop,"Atlantic, Northeast",Tonnes - live weight,315,-,-,-,-,0 0,1,1
Philippines,Tuna-like fishes nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Philippines,Pacific chub mackerel,"Pacific, Western Central",Tonnes - live weight,2380,2277,1393,1439,1403,965,1015,1050
Gabon,Bobo croaker,"Atlantic, Eastern Central",Tonnes - live weight,1000 F,800 F,600 F,400 F,115,90 F,80 F,72 F
Zanzibar,Tropical spiny lobsters nei,"Indian Ocean, Western",Tonnes - live weight,396,912,1682,1695,2190,1929,1907,1928
Portugal,European flat oyster,"Atlantic, Northeast",Tonnes - live weight,...,...,1,1,0 0,...,-,1
Italy,Porbeagle,Mediterranean and Black Sea,Tonnes - live weight,0 0,...,...,...,...,1,1,1
